Id,MainId,QuestionId,Correct,StartTime,EndTime,Time
1,2,1,1,-00:00:01,14:46:57,3
2,2,3,1,14:46:57,14:47:02,5
3,2,5,1,14:47:02,14:47:08,5
4,2,7,1,14:47:08,14:47:22,13
5,2,9,1,14:47:22,14:47:55,33
6,2,11,1,14:47:55,14:48:09,13
7,2,13,1,14:48:09,14:48:33,24
8,2,17,1,14:48:43,14:48:50,6
9,2,15,1,14:48:33,14:48:43,10
10,2,19,1,14:48:50,14:49:00,10
11,2,21,1,14:49:00,14:49:09,8
12,2,23,0,14:49:09,14:49:17,8
13,2,25,1,14:49:17,14:49:39,22
14,3,31,0,15:47:57,15:48:08,10
15,3,27,0,-00:00:01,15:47:31,10
16,3,29,0,15:47:31,15:47:57,24
17,3,35,0,15:48:11,15:48:26,14
18,3,33,0,15:48:08,15:48:11,3
19,3,37,1,15:48:26,15:48:50,23
20,3,41,1,15:49:03,15:49:39,33
21,3,39,1,15:48:50,15:49:03,12
22,3,43,1,15:49:39,15:50:34,53
23,3,47,1,15:50:49,15:50:55,5
24,3,45,1,15:50:34,15:50:49,14
25,3,49,0,15:50:55,15:50:59,4
26,3,51,1,15:50:59,15:51:08,8
27,4,1,1,-00:00:01,21:51:12,6
28,4,5,1,21:51:17,21:51:22,4
29,4,3,1,21:51:12,21:51:17,5
30,4,7,1,21:51:22,21:51:31,8
31,4,9,1,21:51:31,21:51:59,28
32,4,11,1,21:51:59,21:52:20,19
33,4,13,1,21:52:20,21:52:48,27
34,4,17,1,21:53:03,21:53:09,6
35,4,15,1,21:52:48,21:53:03,14
36,4,19,1,21:53:09,21:53:17,7
37,4,21,1,21:53:17,21:53:34,16
38,4,23,0,21:53:34,21:53:40,5
39,4,25,1,21:53:40,21:54:30,49
40,5,33,0,22:00:08,22:00:10,2
41,5,29,0,21:59:42,22:00:00,16
42,5,27,0,-00:00:01,21:59:42,30
43,5,31,0,22:00:00,22:00:08,8
44,5,37,1,22:00:13,22:01:21,62
45,5,35,0,22:00:10,22:00:13,2
46,5,43,1,22:02:06,22:02:14,8
47,5,39,1,22:01:21,22:01:50,27
48,5,41,1,22:01:50,22:02:06,15
49,5,45,1,22:02:14,22:02:47,30
50,5,49,0,22:02:53,22:03:26,30
51,5,47,1,22:02:47,22:02:53,6
52,5,51,0,22:03:26,22:03:58,24
53,6,1,1,-00:00:01,22:02:09,8
54,6,3,1,22:02:09,22:02:20,10
55,6,5,1,22:02:20,22:02:23,3
56,6,7,1,22:02:23,22:02:29,6
57,6,11,1,22:02:53,22:03:27,32
58,6,9,1,22:02:29,22:02:53,23
59,6,13,1,22:03:27,22:03:41,13
60,6,15,1,22:03:41,22:03:48,7
61,6,17,1,22:03:48,22:05:47,117
62,6,19,1,22:05:47,22:06:17,30
63,6,21,1,22:06:17,22:06:26,9
64,6,23,0,22:06:26,22:06:34,8
65,6,25,1,22:06:34,22:06:42,7
66,7,43,1,22:29:31,22:29:35,4
67,7,41,1,22:29:11,22:29:31,19
68,7,27,0,-00:00:01,22:07:35,33
69,7,39,1,22:28:48,22:29:11,21
70,7,29,0,22:07:35,22:07:51,13
71,7,31,0,22:07:51,22:10:52,175
72,7,33,0,22:10:52,22:12:14,81
73,7,37,1,22:27:56,22:28:48,51
74,7,35,1,22:12:14,22:27:56,925
75,7,49,1,22:30:44,22:31:21,35
76,7,51,1,22:31:21,22:31:28,7
77,7,47,1,22:30:37,22:30:44,7
78,7,45,0,22:29:35,22:30:37,58
79,12,1,1,-00:00:01,22:41:46,7
80,12,3,1,22:41:46,22:41:55,8
81,12,5,1,22:41:55,22:41:59,4
82,12,7,1,22:41:59,22:42:05,5
83,12,9,1,22:42:05,22:42:29,23
84,12,11,1,22:42:29,22:43:18,48
85,12,13,1,22:43:18,22:44:02,41
86,12,15,1,22:44:02,22:44:30,25
87,12,17,1,22:44:30,22:44:36,6
88,12,19,1,22:44:36,22:44:49,12
89,12,21,1,22:44:49,22:45:00,10
90,12,23,0,22:45:00,22:45:08,7
91,12,25,0,22:45:08,22:47:48,151
92,14,1,0,-00:00:01,00:16:59,2
93,14,5,0,00:16:59,00:16:59,0
94,14,9,0,00:16:59,00:16:59,0
95,14,7,0,00:16:59,00:16:59,0
96,14,11,0,00:16:59,00:16:59,0
97,14,3,0,00:16:59,00:16:59,0
98,14,13,0,00:16:59,00:16:59,0
99,14,15,0,00:16:59,00:16:59,0
100,14,17,0,00:16:59,00:17:00,0
101,14,21,0,00:17:00,00:17:00,0
102,14,19,0,00:17:00,00:17:00,0
103,14,25,0,00:17:01,00:17:06,3
104,14,23,0,00:17:00,00:17:01,0
105,15,27,0,-00:00:01,00:20:29,2
106,15,29,0,00:20:29,00:20:31,1
107,15,33,0,00:20:31,00:20:31,0
108,15,31,0,00:20:31,00:20:31,0
109,15,35,0,00:20:31,00:20:32,0
110,15,39,0,00:20:32,00:20:32,0
111,15,37,0,00:20:32,00:20:32,0
112,15,41,0,00:20:32,00:20:32,0
113,15,43,0,00:20:32,00:20:32,0
114,15,45,0,00:20:32,00:20:32,0
115,15,47,0,00:20:32,00:20:32,0
116,15,49,0,00:20:32,00:20:33,0
117,15,51,0,00:20:33,00:20:33,0
118,17,27,1,-00:00:01,01:23:54,21
119,17,31,1,01:24:11,01:24:17,5
120,17,35,1,01:24:22,01:25:05,41
121,17,29,1,01:23:54,01:24:11,16
122,17,33,1,01:24:17,01:24:22,4
123,17,37,1,01:25:05,01:25:18,12
124,17,39,1,01:25:18,01:25:35,16
125,17,43,1,01:25:49,01:25:58,8
126,17,41,1,01:25:35,01:25:49,13
127,17,45,1,01:25:58,01:27:07,65
128,17,47,1,01:27:07,01:28:00,51
129,17,49,1,01:28:00,01:28:13,12
130,17,51,1,01:28:13,01:28:17,3
131,18,30,1,20:20:21,20:20:40,15
132,18,28,1,-00:00:01,20:20:21,77
133,18,32,1,20:20:40,20:20:47,6
134,18,34,1,20:20:47,20:20:54,7
135,18,36,1,20:20:54,20:21:41,45
136,18,38,1,20:21:41,20:22:13,29
137,18,42,1,20:22:20,20:22:34,14
138,18,40,1,20:22:13,20:22:20,6
139,18,44,1,20:22:34,20:22:46,10
140,18,46,1,20:22:46,20:23:30,42
141,18,52,1,20:23:56,20:24:02,5
142,18,50,1,20:23:44,20:23:56,11
143,18,48,1,20:23:30,20:23:44,13
144,18,28,1,-00:00:01,20:20:21,77
145,18,32,1,20:20:40,20:20:47,6
146,18,34,1,20:20:47,20:20:54,7
147,18,36,1,20:20:54,20:21:41,45
148,18,30,1,20:20:21,20:20:40,15
149,18,38,1,20:21:41,20:22:13,29
150,18,40,1,20:22:13,20:22:20,6
151,18,42,1,20:22:20,20:22:34,14
152,18,44,1,20:22:34,20:22:46,10
153,18,46,1,20:22:46,20:23:30,42
154,18,48,1,20:23:30,20:23:44,13
155,18,50,1,20:23:44,20:23:56,11
156,18,52,1,20:23:56,20:24:02,5
157,20,29,1,23:49:14,23:49:20,5
158,20,37,1,23:49:49,23:51:47,116
159,20,35,1,23:49:30,23:49:49,18
160,20,27,1,-00:00:01,23:49:14,4
161,20,31,1,23:49:20,23:49:26,5
162,20,33,1,23:49:26,23:49:30,4
163,20,39,1,23:51:47,23:52:09,21
164,20,41,1,23:52:09,23:52:26,16
165,20,43,1,23:52:26,23:52:37,10
166,20,49,1,23:53:32,23:53:55,23
167,20,47,1,23:53:05,23:53:32,25
168,20,45,1,23:52:37,23:53:05,28
169,20,51,1,23:53:55,23:54:00,4
170,19,1,1,-00:00:01,23:45:58,22
171,19,3,1,23:45:58,23:46:05,6
172,19,5,1,23:46:05,23:46:09,4
173,19,7,1,23:46:09,23:46:17,8
174,19,9,0,23:46:17,23:48:27,128
175,19,11,1,23:48:27,23:50:58,150
176,19,15,1,23:51:31,23:51:44,12
177,19,17,1,23:51:44,23:51:54,10
178,19,23,0,23:52:30,23:52:41,11
179,19,19,1,23:51:54,23:52:08,14
180,19,21,1,23:52:08,23:52:30,21
181,19,25,1,23:52:41,23:53:29,46
182,19,13,1,23:50:58,23:51:31,32
183,22,27,1,-00:00:01,09:42:50,51
184,22,39,1,09:46:12,09:46:34,21
185,22,29,1,09:42:50,09:43:05,14
186,22,43,1,09:46:47,09:47:00,12
187,22,31,1,09:43:05,09:43:16,10
188,22,41,1,09:46:34,09:46:47,13
189,22,35,1,09:43:25,09:44:37,70
190,22,33,1,09:43:16,09:43:25,8
191,22,37,1,09:44:37,09:46:12,93
192,22,45,1,09:47:00,09:47:26,26
193,22,47,1,09:47:26,09:47:41,14
194,22,49,1,09:47:41,09:48:53,70
195,22,51,0,09:48:53,09:49:18,24
196,23,1,1,-00:00:01,10:23:44,6
197,23,5,1,10:23:57,10:24:02,4
198,23,3,1,10:23:44,10:23:57,12
199,23,7,1,10:24:02,10:24:12,9
200,23,9,1,10:24:12,10:24:27,15
201,23,11,1,10:24:27,10:24:39,12
202,23,13,1,10:24:39,10:25:21,41
203,23,15,1,10:25:21,10:25:35,14
204,23,17,1,10:25:35,10:25:42,6
205,23,19,1,10:25:42,10:26:48,64
206,23,21,1,10:26:48,10:27:12,24
207,23,23,0,10:27:12,10:27:17,5
208,23,25,1,10:27:17,10:28:02,43
209,24,33,1,12:38:20,12:38:27,6
210,24,31,1,12:38:13,12:38:20,7
211,24,29,1,12:37:53,12:38:13,19
212,24,35,0,12:38:27,12:39:44,76
213,24,27,1,-00:00:01,12:37:53,15
214,24,39,1,12:40:05,12:40:40,34
215,24,41,1,12:40:40,12:40:58,17
216,24,43,1,12:40:58,12:41:09,11
217,24,37,1,12:39:44,12:40:05,20
218,24,45,0,12:41:09,12:42:43,93
219,24,47,1,12:42:43,12:43:03,19
220,24,49,1,12:43:03,12:43:22,18
221,24,51,1,12:43:22,12:43:29,7
222,26,27,1,-00:00:01,13:52:52,20
223,26,29,1,13:52:52,13:53:01,8
224,26,35,1,13:53:19,13:54:42,74
225,26,37,1,13:54:42,13:54:58,15
226,26,33,1,13:53:10,13:53:19,8
227,26,31,1,13:53:01,13:53:10,9
228,26,39,1,13:54:58,13:56:26,83
229,26,41,1,13:56:26,13:57:42,71
230,26,43,0,13:57:42,13:57:48,5
231,26,47,1,13:57:59,13:58:08,9
232,26,49,1,13:58:08,13:58:18,8
233,26,45,1,13:57:48,13:57:59,9
234,26,51,1,13:58:18,13:58:22,3
235,27,1,1,-00:00:01,14:09:31,8
236,27,3,1,14:09:31,14:09:37,5
237,27,5,1,14:09:37,14:09:42,5
238,27,7,1,14:09:42,14:09:49,6
239,27,9,1,14:09:49,14:10:35,45
240,27,11,1,14:10:35,14:11:28,52
241,27,13,1,14:11:28,14:11:45,16
242,27,17,1,14:12:05,14:12:12,7
243,27,15,1,14:11:45,14:12:05,20
244,27,19,1,14:12:12,14:12:33,20
245,27,21,1,14:12:33,14:12:39,5
246,27,23,0,14:12:39,14:12:47,7
247,27,25,0,14:12:47,14:14:12,84
248,29,1,1,-00:00:01,18:37:02,6
249,29,3,1,18:37:02,18:37:10,7
250,29,5,1,18:37:10,18:37:15,5
251,29,7,1,18:37:15,18:37:26,10
252,29,17,1,18:39:30,18:39:37,7
253,29,9,1,18:37:26,18:37:46,20
254,29,13,1,18:37:57,18:38:35,37
255,29,15,1,18:38:35,18:39:30,54
256,29,11,1,18:37:46,18:37:57,11
257,29,19,1,18:39:37,18:39:46,8
258,29,21,1,18:39:46,18:39:57,10
259,29,23,0,18:39:57,18:40:02,5
260,29,25,1,18:40:02,18:40:09,6
261,31,3,1,18:40:10,18:40:20,10
262,31,1,1,-00:00:01,18:40:10,7
263,31,5,1,18:40:20,18:40:30,9
264,31,7,1,18:40:30,18:40:36,5
265,31,9,1,18:40:36,18:41:08,29
266,31,11,1,18:41:08,18:41:23,14
267,31,15,1,18:42:01,18:42:16,14
268,31,13,0,18:41:23,18:42:01,38
269,31,19,1,18:42:19,18:42:26,6
270,31,17,0,18:42:16,18:42:19,3
271,31,21,1,18:42:26,18:42:35,9
272,31,23,0,18:42:35,18:42:43,7
273,31,25,1,18:42:43,18:43:05,21
274,30,27,1,-00:00:01,18:40:44,26
275,30,29,1,18:40:44,18:41:14,28
276,30,31,1,18:41:14,18:41:22,8
277,30,33,1,18:41:22,18:41:28,4
278,30,35,1,18:41:28,18:42:47,71
279,30,37,1,18:42:47,18:43:28,38
280,30,39,1,18:43:28,18:43:44,15
281,30,41,1,18:43:44,18:44:00,14
282,30,43,0,18:44:00,18:44:36,32
283,30,45,0,18:44:36,18:45:13,36
284,30,47,0,18:45:13,18:45:34,18
285,30,49,0,18:45:34,18:45:34,0
286,30,51,0,18:45:34,18:45:34,0
287,34,37,1,18:46:46,18:46:58,12
288,34,29,0,18:45:40,18:45:46,5
289,34,35,1,18:45:56,18:46:46,48
290,34,27,1,-00:00:01,18:45:40,10
291,34,31,1,18:45:46,18:45:51,4
292,34,33,1,18:45:51,18:45:56,4
293,34,39,1,18:46:58,18:47:16,17
294,34,45,1,18:47:30,18:48:49,78
295,34,41,1,18:47:16,18:47:23,7
296,34,43,1,18:47:23,18:47:30,6
297,34,47,1,18:48:49,18:49:20,30
298,34,49,1,18:49:20,18:49:29,8
299,34,51,1,18:49:29,18:49:33,4
300,33,1,1,-00:00:01,18:45:14,5
301,33,5,1,18:45:18,18:45:23,4
302,33,3,1,18:45:14,18:45:18,4
303,33,7,1,18:45:23,18:45:39,15
304,33,9,1,18:45:39,18:46:34,54
305,33,11,1,18:46:34,18:46:45,11
306,33,13,1,18:46:45,18:46:55,9
307,33,17,1,18:47:16,18:47:21,4
308,33,15,1,18:46:55,18:47:16,20
309,33,19,0,18:47:21,18:49:25,122
310,33,21,1,18:49:25,18:49:33,7
311,33,23,0,18:49:33,18:49:42,8
312,33,25,1,18:49:42,18:49:50,8
313,37,1,1,-00:00:01,18:46:53,8
314,37,3,1,18:46:53,18:46:59,5
315,37,5,1,18:46:59,18:47:03,4
316,37,9,1,18:47:10,18:47:35,25
317,37,11,1,18:47:35,18:47:46,10
318,37,7,1,18:47:03,18:47:10,6
319,37,13,1,18:47:46,18:48:03,16
320,37,15,1,18:48:03,18:48:24,20
321,37,17,1,18:48:24,18:48:30,6
322,37,21,1,18:48:41,18:48:54,12
323,37,19,1,18:48:30,18:48:41,10
324,37,23,0,18:48:54,18:49:09,15
325,37,25,1,18:49:09,18:50:27,76
326,36,27,1,-00:00:01,18:47:12,62
327,36,29,1,18:47:12,18:47:22,9
328,36,31,1,18:47:22,18:47:28,5
329,36,33,1,18:47:28,18:47:33,5
330,36,37,1,18:48:01,18:48:47,41
331,36,35,1,18:47:33,18:48:01,22
332,36,39,1,18:48:47,18:49:03,14
333,36,41,1,18:49:03,18:49:11,8
334,36,43,1,18:49:11,18:49:21,9
335,36,45,0,18:49:21,18:50:16,53
336,36,47,1,18:50:16,18:50:25,8
337,36,49,1,18:50:25,18:50:51,25
338,36,51,1,18:50:51,18:50:56,5
339,39,1,1,-00:00:01,18:48:47,5
340,39,13,1,18:50:23,18:51:03,38
341,39,3,1,18:48:47,18:48:54,6
342,39,5,1,18:48:54,18:48:59,4
343,39,17,1,18:51:09,18:51:21,11
344,39,7,1,18:48:59,18:49:07,8
345,39,9,1,18:49:07,18:49:26,18
346,39,11,1,18:49:26,18:50:23,54
347,39,15,1,18:51:03,18:51:09,6
348,39,19,1,18:51:21,18:51:30,9
349,39,23,0,18:51:43,18:51:52,9
350,39,25,1,18:51:52,18:52:08,15
351,39,21,1,18:51:30,18:51:43,11
352,40,27,1,-00:00:01,18:50:21,24
353,40,33,1,18:50:38,18:50:42,4
354,40,29,1,18:50:21,18:50:33,12
355,40,31,1,18:50:33,18:50:38,4
356,40,35,1,18:50:42,18:51:18,34
357,40,37,1,18:51:18,18:51:28,9
358,40,43,1,18:52:04,18:52:48,39
359,40,45,1,18:52:48,18:53:21,31
360,40,39,1,18:51:28,18:51:59,28
361,40,41,1,18:51:59,18:52:04,5
362,40,47,1,18:53:21,18:53:30,8
363,40,49,1,18:53:30,18:53:39,8
364,40,51,1,18:53:39,18:53:43,3
365,42,27,1,-00:00:01,18:51:45,15
366,42,29,1,18:51:45,18:51:53,8
367,42,31,1,18:51:53,18:51:59,5
368,42,33,1,18:51:59,18:52:03,3
369,42,35,1,18:52:03,18:52:30,26
370,42,37,1,18:52:30,18:52:47,16
371,42,41,1,18:53:06,18:53:21,14
372,42,39,1,18:52:47,18:53:06,17
373,42,45,1,18:53:30,18:55:17,103
374,42,43,1,18:53:21,18:53:30,9
375,42,47,1,18:55:17,18:55:27,10
376,42,49,1,18:55:27,18:55:47,17
377,42,51,1,18:55:47,18:55:52,4
378,44,31,1,18:55:31,18:55:38,6
379,44,29,1,18:55:23,18:55:31,8
380,44,27,1,-00:00:01,18:55:23,25
381,44,33,1,18:55:38,18:55:44,6
382,44,35,1,18:55:44,18:56:41,55
383,44,37,1,18:56:41,18:57:05,23
384,44,43,1,18:57:20,18:57:31,10
385,44,41,1,18:57:12,18:57:20,8
